master_cpd_id;cpd_name;broad_cpd_id;top_test_conc_umol;cpd_status;inclusion_rationale;gene_symbol_of_protein_target;target_or_activity_of_compound;source_name;source_catalog_id;cpd_smiles;status;combined_group
62690;cytarabine hydrochloride;BRD-K33106058;66;FDA;std-of-care;;inducer of DNA damage;Selleck;S1648;Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1;approved_or_clinical;DNA damage/replication/cytotoxics
63578;erastin;BRD-A25004090;66;probe;pilot-set;"SLC7A11;VDAC1;VDAC2";"modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11";Sigma-Aldrich;E7781;CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1;experimental;Proteostasis/Ubiquitin/HSP chaperone modulator
102193;FQI-1;BRD-A91658086;33;probe;pilot-set;;inhibitor of LSF1-mediated transcription;Boston University;;CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12;experimental;Epigenetic/transcription modulator
119769;BRD-K92856060;BRD-K92856060;33;probe;"DOS;outreach";;screening hit;ChemBridge Corporation;7653590;COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12;experimental;Miscellaneous or screening hit/natural product
142931;BRD-K45681478;BRD-K45681478;66;probe;"DOS;outreach";;"product of diversity oriented synthesis; screening hit";Broad Institute of MIT and Harvard;;ClC1=C(NCC=C)C(=O)c2ccccc2C1=O;experimental;Miscellaneous or screening hit/natural product
153820;ML050;BRD-A83255679;66;probe;pilot-set;GPER1;antagonist of GPR30;Asinex Ltd.;BAS 02002358;Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12;experimental;Other signaling enzyme/channel/metabolic modulator
154846;ML162;BRD-A36275421;33;probe;pilot-set;;selectively kills engineered cells expressing mutant HRAS;ChemDiv Inc.;K784-3185;COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl;experimental;MAPK pathway inhibitor
182395;NSC30930;BRD-K29711668;66;probe;outreach;SRD5A2;inhibitor of steroid 5-alpha reductase;National Cancer Institute Chemotherapeutic Agents Repository;;OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1;experimental;Other signaling enzyme/channel/metabolic modulator
185987;MI-1;BRD-K64497429;33;probe;lit-search;MEN1;"binder of menin; inhibitor of menin-MLL fusion protein";InterBioScreen Ltd.;STOCK3S-35137;CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12;experimental;Epigenetic/transcription modulator
199337;DBeQ;BRD-K59204667;66;probe;lit-search;VCP;inhibitor of p97 in cells;Tocris Bioscience;4417;C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1;experimental;Proteostasis/Ubiquitin/HSP chaperone modulator
215497;Mdivi-1;BRD-K61128465;66;probe;lit-search;DNM1;"inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor";Tocris Bioscience;3982;COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O;experimental;Proteostasis/Ubiquitin/HSP chaperone modulator
267119;CID-5951923;BRD-A86956638;66;probe;"chromatin;lit-search";KLF5;modulator of KLF5 expression;Tocris Bioscience;4446;CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O;experimental;Epigenetic/transcription modulator
272805;IU1;BRD-K45841694;66;probe;lit-search;USP14;inhibitor of the deubiquitinase activity of USP14;Tocris Bioscience;4088;Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1;experimental;Proteostasis/Ubiquitin/HSP chaperone modulator
277354;dexamethasone;BRD-A35108200;33;FDA;pilot-set;NR3C1;agonist of glucocorticoid receptor;ChemDiv Inc.;R092-0055;CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO;approved_or_clinical;Nuclear receptor modulator
340501;VX-680;BRD-K59369769;66;clinical;pilot-set;"AURKA;AURKB;AURKC";inhibitor of aurora kinases;Selleck;S1048;CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1;approved_or_clinical;Cell-cycle/Checkpoint modulator
345041;imatinib;BRD-K92723993;66;FDA;std-of-care;"ABL1;BCR;KIT";inhibitor of BCR-ABL1 and c-KIT;Selleck;S2475;CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1;approved_or_clinical;RTK tyrosine-kinase inhibitor
345712;O-6-benzylguanine;BRD-K92041145;66;clinical;CTEP;MGMT;inhibitor of O(6)-alkylguanine DNA alkyltransferases;Sigma-Aldrich;B2292;Nc1nc(OCc2ccccc2)c2[nH]cnc2n1;approved_or_clinical;DNA damage/replication/cytotoxics
347775;decitabine;BRD-K79254416;66;FDA;"chromatin;CTEP;std-of-care";DNMT1;inhibitor of DNA methyltransferase;Selleck;S1200;Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1;approved_or_clinical;Epigenetic/transcription modulator
347813;BI-2536;BRD-K64890080;33;clinical;"kinome;pilot-set";PLK1;inhibitor of polo-like kinase 1 (PLK1);Selleck;S1109;CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O;approved_or_clinical;Cell-cycle/Checkpoint modulator
348633;BRD-K61166597;BRD-K61166597;66;probe;"chromatin;outreach";;inhibitor of HDAC1 and HDAC2;Stanley Center for Psychiatric Research at the Broad Institute;;Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1;experimental;Epigenetic/transcription modulator
